Player,hakeem olajuwon
hakeem olajuwon,1.0
chris webber,0.9978003041604732
tim duncan,0.9975804083846899
brandon clarke,0.9973536970509089
yao ming,0.9972764858627813
jason lawson,0.996972578772328
rudy gobert,0.9966532757789999
pau gasol,0.9964858577995777
shawn marion,0.9962569124502285
bam adebayo,0.9951888198671837
ron harper,0.9951601027536445
ben simmons,0.9950170951414863
scottie pippen,0.9949146797922799
vlade divac,0.9946211933632478
dan majerle,0.9945016619438944
shane battier,0.9944908918941592
anfernee hardaway,0.9942289989746879
alonzo mourning,0.9940878425378847
paul millsap,0.99374131297888
eugene omoruyi,0.9936970386313547
eric murdock,0.9933099575055326
toni kukoc,0.9927871040995173
robert horry,0.9925913699823768
nick anderson,0.9920734086303149
devontae cacok,0.9919812648559173
david west,0.99182966659746
brad miller,0.9917216563632797
ben wallace,0.9914529312818547
kevin garnett,0.9912455899588651
karl malone,0.9912253388959341
hassan whiteside,0.9907515834649728
anthony davis,0.9905927953800895
blake griffin,0.9903828951139197
marcus camby,0.990363856885002
devin robinson,0.990208687642904
kerry kittles,0.9901308317391978
montrezl harrell,0.9900787978100104
jarrett allen,0.9899181085653486
steve francis,0.9898207525727896
john konchar,0.9897296673223935
metta world peace,0.9895796946414515
andrei kirilenko,0.9894790645064002
chris boucher,0.9894695807239646
dwight howard,0.989410517863995
demarcus cousins,0.9892863231514043
josh smith,0.989204327914305
lamarcus aldridge,0.9890932276595549
sam perkins,0.9890594926468769
nate mcmillan,0.9888477221905323
joakim noah,0.9887246034125409
marc gasol,0.9887038724767364
brook lopez,0.9886682160663423
derrick coleman,0.9884214911125182
otto porter jr.,0.988318931454146
rod strickland,0.9882953612138022
andrew bynum,0.9881577331862045
robert williams,0.9881221403902145
dikembe mutombo,0.9881198575247783
danny manning,0.9881165959271141
dwight powell,0.9878940902643945
elton brand,0.9876419587200628
charles barkley,0.9875635089892966
brandan wright,0.9875553353345102
chris bosh,0.9874095092685241
mason plumlee,0.9874086496999468
rasheed wallace,0.9873659686113736
rashard lewis,0.9871665461550168
hersey hawkins,0.9871648923717016
christian laettner,0.9871475673344635
joel embiid,0.98696908864284
gerald wallace,0.9869639730910051
clint capela,0.9868504132283242
larry nance jr.,0.9868079992250668
donyell marshall,0.9867806923412861
derrick mckey,0.9867130223409905
