Player,% 2P,% 0-3,% 3-10,% 10-16,% 16-3P,% 3P,% Ast 2P,% Ast 3P,2P%,0-3 %,3-10%,10-16 %,16-3P %,3P%,FTr,ORB %,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,DBPM,OBPM,BPM,PG %,SG %,SF %,PF %,C %
ivica zubac,0.995,0.609,0.318,0.042,0.026,0.005,0.747,1.0,0.598,0.683,0.462,0.439,0.52,0.1,0.394,12.8,23.6,18.3,8.8,0.8,3.8,14.1,17.2,0.4,0.2,0.6,0.0,0.0,0,0,1.0
ante zizic,1.0,0.564,0.304,0.098,0.034,0.0,0.685,0.0,0.581,0.687,0.441,0.5,0.313,0.0,0.383,10.7,22.4,16.3,6.6,0.7,2.3,13.0,18.2,-1.8,-0.8,-2.6,0.0,0.0,0,0.02,0.98
paul zipser,0.541,0.185,0.108,0.064,0.185,0.459,0.717,0.986,0.402,0.619,0.265,0.379,0.274,0.335,0.143,1.8,15.1,8.3,7.0,1.0,1.6,14.6,14.8,-0.4,-4.9,-5.2,0.01,0.29,0.44,0.26,0
stephen zimmerman,1.0,0.29,0.323,0.258,0.129,0.0,0.6,0.0,0.323,0.556,0.3,0.125,0.25,0.0,0.161,10.8,24.9,17.6,5.3,0.9,3.7,8.3,14.8,-1.7,-6.6,-8.3,0.0,0.0,0,0.01,0.99
derrick zimmerman,1.0,0.667,0.333,0.0,0.0,0.0,1.0,0.0,0.667,0.5,1.0,0.0,0.0,0.0,0.0,3.6,11.2,7.3,34.2,0.0,0.0,57.1,10.3,-2.7,-7.7,-10.4,1.0,0.0,0,0,0
george zidek,0.973,0.32,0.327,0.136,0.19,0.027,0.782,1.0,0.385,0.234,0.375,0.45,0.607,0.25,0.42,9.7,16.3,13.0,3.8,0.6,0.7,12.8,18.5,-2.5,-5.0,-7.5,0.0,0.0,0,0.13,0.87
wang zhizhi,0.644,0.27,0.131,0.096,0.147,0.356,0.601,0.929,0.435,0.543,0.358,0.347,0.36,0.385,0.288,5.1,15.5,10.4,5.2,1.0,2.0,10.6,23.3,-1.4,-0.1,-1.6,0.0,0.0,0,0.11,0.89
tyler zeller,0.985,0.445,0.269,0.074,0.196,0.015,0.789,1.0,0.512,0.637,0.416,0.411,0.398,0.286,0.31,9.6,18.5,14.0,8.1,0.7,2.7,11.8,17.8,-0.6,-1.4,-2.0,0.0,0.0,0,0.01,0.99
luke zeller,0.808,0.0,0.0,0.077,0.731,0.192,1.0,1.0,0.381,0.0,0.0,0.5,0.368,0.2,0.0,1.9,18.0,9.8,8.4,0.0,0.0,0.0,19.9,-3.0,-4.1,-7.2,0.0,0.0,0,0,1.0
cody zeller,0.952,0.581,0.198,0.037,0.136,0.048,0.757,0.969,0.535,0.638,0.422,0.339,0.311,0.221,0.447,9.7,19.9,14.7,9.9,1.5,2.5,12.5,16.9,0.6,-1.1,-0.6,0.0,0.0,0,0.08,0.92
omer yurtseven,0.965,0.449,0.388,0.106,0.022,0.035,0.785,1.0,0.553,0.706,0.443,0.417,0.0,0.125,0.251,13.8,34.3,24.2,11.8,1.2,3.1,13.4,20.2,0.7,-1.0,-0.3,0.0,0.0,0,0,1.0
sun yue,0.455,0.091,0.0,0.182,0.182,0.545,1.0,0.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,1.8,2.8,21.4,22.0,-2.3,-17.2,-19.4,0.05,0.76,0.19,0,0
trae young,0.603,0.193,0.183,0.145,0.081,0.397,0.16,0.302,0.494,0.586,0.447,0.454,0.453,0.354,0.401,2.1,10.4,6.3,44.4,1.4,0.4,16.1,32.5,-2.2,5.1,2.9,0.98,0.02,0,0,0
tim young,1.0,0.231,0.462,0.103,0.205,0.0,0.385,0.0,0.333,0.556,0.222,0.5,0.25,0.0,0.923,9.4,18.0,13.4,5.5,0.7,0.5,14.1,19.6,-2.3,-2.6,-4.9,0.0,0.0,0,0,1.0
thaddeus young,0.87,0.418,0.267,0.072,0.114,0.13,0.602,0.937,0.527,0.65,0.449,0.336,0.381,0.332,0.176,7.7,14.9,11.3,10.1,2.4,1.2,11.0,20.2,0.2,0.2,0.5,0.0,0.0,0.08,0.88,0.04
sam young,0.862,0.371,0.163,0.072,0.256,0.138,0.491,0.939,0.468,0.615,0.33,0.363,0.373,0.28,0.284,4.8,12.0,8.4,7.0,1.8,1.1,12.5,18.4,-0.1,-2.0,-2.1,0.0,0.42,0.57,0.01,0
nick young,0.601,0.126,0.071,0.138,0.266,0.399,0.433,0.859,0.446,0.613,0.344,0.416,0.411,0.376,0.236,1.8,8.1,4.9,7.0,1.2,0.6,8.5,22.7,-1.9,-0.3,-2.2,0.03,0.65,0.32,0,0
korleone young,0.6,0.3,0.2,0.1,0.0,0.4,0.75,1.0,0.667,1.0,0.5,0.0,0.0,0.25,0.2,16.2,16.4,16.3,18.8,0.0,0.0,8.4,37.6,-0.5,9.9,9.4,0.0,0.07,0.75,0.18,0
joe young,0.684,0.211,0.108,0.11,0.258,0.316,0.227,0.75,0.438,0.544,0.37,0.362,0.409,0.296,0.162,2.0,11.4,6.7,17.0,1.5,0.1,12.3,21.5,-1.2,-3.0,-4.1,0.92,0.08,0,0,0
james young,0.348,0.119,0.071,0.048,0.11,0.652,0.795,0.974,0.534,0.76,0.533,0.3,0.391,0.277,0.229,2.5,10.4,6.4,4.8,1.5,0.5,6.1,13.2,-0.3,-3.1,-3.4,0.05,0.5,0.45,0,0
vincent yarbrough,0.818,0.145,0.105,0.145,0.423,0.182,0.639,1.0,0.42,0.581,0.467,0.435,0.348,0.269,0.145,2.9,11.2,6.8,16.8,2.2,1.9,15.1,17.3,0.9,-3.3,-2.4,0.05,0.92,0.03,0,0
guerschon yabusele,0.529,0.254,0.188,0.022,0.065,0.471,0.675,1.0,0.548,0.743,0.346,0.667,0.333,0.323,0.319,8.9,14.4,11.7,9.0,1.2,2.1,14.6,16.6,0.0,-2.0,-1.9,0.0,0.0,0.15,0.53,0.32
